Club,Description,Category
Call of Duty @ UW,A place for people to play and talk about Call of Duty! Come join our Discord server at https://discord.gg/EnhEHjrneZ ! We are looking to start a professional COD UW Esports team!,Arts/Creative
Camp Kesem at UW Seattle,Camp Kesem is a national nonprofit organization providing a free summer camp for children whose parents have been affected by cancer. Come help make the magic happen!,Service/Volunteer
CannaClub at UW,"The purpose of this organization is to ignite student engagement in the cannabis space to create a community centered around education, opportunity, and advocacy. Cannaclub at UW will also foster discussions around the emerging cannabis business.",Academic
Capillaries Journal of Medical Humanities,"It shall be the purpose of the Capillaries Journal to provide the UW community with the opportunity to reflect on their experiences with medicine, healing, illness, and/or grief through prose, poetry, and artwork.",Pre-Health/Medical
Car Club at UW,"We unite University of Washington students who share the same passion and enthusiasm for cars and car culture, providing a common interest community on campus to enrich students'",Hobbies/Interest
Cardiology Interest Group at UWSOM,"The Cardiology Interest Group serves to encourage medical student interest in cardiology through informational sessions, mentorship and hands-on workshops.",Pre-Health/Medical
Cardiothoracic Surgery Interest Group,"The Cardiothoracic Surgery Interest Group, led by medical students, aims to educate students on the intricacies of cardiothoracic surgery through diverse educational, mentorship, and clinical exposure. Join us in exploring this dynamic field!",Pre-Health/Medical
Care Catalyst,"Promote civic engagement and encourage students to volunteer, support local causes to advocate for change in order to build stronger communities.",Service/Volunteer
CareerWomin at UW,"Career Womin connects UW students with industry leaders to educate, enrich, and empower the next generation of young women from minority groups. Through mentorship, skill-building, and networking, we are shaping broad exposure to different industries.",Professional Development
Case Club at The University of Washington,"The Case Club (C-Squared) at the University of Washington's goal is to teach members the critical public speaking, slide making, analysis, teamwork and leadership skills so they can apply them to internal and external case competitions.",Sports/Recreation
Catholic Newman Center at the UW,"To promote and support the Roman Catholic faith among the students, faculty, and staff at the University of Washington.",Religious/Spiritual
Center for Human Rights and Justice,The Center for Human Rights and Justice is a student-run organization dedicated to training students in human rights law and educating the community about local and global issues. CHRJ hosts speakers and events on a wide variety of social justice topics,Political/Activism
Ceramics Club at the University of Washington,"Ceramics club strives to provide a space for creative individuals who have a passion for ceramics or an interest in learning more about the art form, no prior experience needed. We currently provide studio nights two days a week at the Wet Clay Cafe!",Arts/Creative
Certificate of International Studies in Business,"The Certificate of International Studies in Business (CISB) prepares students for leadership in global business, developing skills in leadership, regional specialization, foreign languages, and cross-cultural awareness in and out of the classroom.",International/Global
Chabad Jewish Student Group,"Chabad is a warm, non-judgmental, fun, exciting, and lively place that practices the Jewish faith. All are welcome to come, learn and worship with us!",Religious/Spiritual
Chamber Music Club,"It shall be the purpose of this organization to create a network of students interested in chamber music and provide opportunities for them to play, perform, and learn about chamber music.",Hobbies/Interest
Chamber Singers at the University of Washington,"The Chamber Singers at the University of Washington is a professional level choir consisting of graduate and advanced undergraduate music majors, as well as advanced musicians of majors from across the UW community.",Arts/Creative
ChanceSee,We seek chances for our kids and we see chances through our efforts.,General Interest
Chanoyu Club at University of Washington,"The mission of Chanoyu Club is to promote the study and practice of Japanese Tea Ceremony, and the 4 key values of Chanoyu: 和(harmony), 敬(respect), 清(purity), and 寂(tranquility).",Academic
Chem-E-Car at UW,A club dedicated to competing in the Chem-E-Car competition by designing a shoe-box sized car that will safely carry a specified load over a given distance and stop using a chemistry-based power source and control mechanism.,Arts/Creative
Chemical Engineering Brewing Club,Our aim is to educate students of the Chemical Engineering department about home brewing and distilling. We will provide hands on experience in brewing ciders and beers.,Engineering/Tech
Chemistry Graduate Student Club at the University of Washington,"The purpose of this organization is to provide opportunities for graduate student participation in group activities and to foster interaction between students and faculty, as well as to extend enthusiasm for science to the wider community.",Arts/Creative
Chess Club at UW,"To promote the game of chess and give students, faculty, and community members a place to play, learn, and socialize. We meet every Tuesday 5:30-7:00 in MEB 237. Join our discord (https://discord.gg/bYmqU6JqPj) for updates, reminders, and discussion!",Gaming/Esports
Chi Omega,"A sisterhood providing a lifelong network of friends, committed to personal integrity, excellence in academic pursuits, inter-generational participation, philanthropy, and community and social enrichment.",Greek Life
Chi Psi Fraternity,"A Fraternity of Gentlemen in the pursuit of advancement in our members' intellectual, moral, and social lives.",Greek Life
"Chi Sigma Alpha National Sorority, Inc.","Our purpose is to increase Asian-American awareness through service and sisterhood. To bring together diverse women to build strong character, leadership skills, and confidence.",Greek Life
Chicanos/Latinx for Community Medicine,CCM is a Pre-Health organization striving to increase the number of under-represented minorities in Healthcare and committed to improving the health outcomes of under-served minority populations in our community through education and activism.,Pre-Health/Medical
"CHID: Create, Critique, Transform","We seek to create a student space for the intersections of knowledge-production and everyday University life. We find new ways to interact with faculty, staff, community members, and other students in a joyful exploration of ideas beyond the classroom.",Service/Volunteer
Child Rights and You UW Chapter,"Child Rights and You is an international organizations that has chapters all over the world. The goal of CRY is to have equality for all children in India, many of whom live in poverty and who are looked down upon because of the old caste system.",International/Global
China Entrepreneur Network at University of Washington,China Entrepreneur Network (CEN) is a collaborating organization of global university students and convenes youth leaders equipped with the humanity of the era and in pursuing social betterment. CEN aims to promote social innovation and entrepreneurship.,Engineering/Tech
Chinese Adoptee Circle at the University of Washington,"The Chinese Adoptee Circle at the UW connects students adopted from China. Through shared experiences, events, and hangouts, we foster a supportive community where members can build meaningful bonds and explore identity together.",Service/Volunteer
Chinese Covenant at the University of Washington,Chinese Covenant is the student fellowship that meets every Friday on UW Seattle Campus (SAV 156) at 6 pm. We provide support to each other and do bible studies. Transportation will be provided. Everyone is very welcome: ) [Email - uwccinfo@uw.edu],Religious/Spiritual
Chinese Debate Club at University of Washington,To develop a debate team that could represent University of Washington to champion in international debating competitions; To provide students chances to improve speaking and critical thinking in Chinese.,Greek Life
Chinese Student Association at the University of Washington,CSA is a Chinese cultural club that promotes understanding and diversity among not only Chinese but people of all walks of life and backgrounds. To become a member please visit our website: csauw.com and follow us @csauw,Cultural/Identity
Chinese Students and Scholars Association,"Promoting mutual understanding, mutual assistance, and mutual benefits among UWCSSA members",Academic
Chinese Theater Club,"A UW Seattle based student organization focuses on Chinese culture and theater. We provide acting workshop, opportunities for stage performances as well as activities to learn and promote Chinese culture.",Arts/Creative
Chinese Translation Club @ UW,A group that will provide a collaborative space for those interested in Chinese translation to practice and grow in the craft together.,Hobbies/Interest
Chinese Union at University of Washington,"Our goal is to help students in their academic and social endeavors, encourage cultural interactions between different ethnic groups and promote general welfare for international students.",Academic
Chorale at the University of Washington,"We strive to encourage the intellectual, aesthetic, and personal development of the choral community through the study and performance of music of the highest quality.",Academic
Christian Business Leaders,"Our mission is to help students navigate their faith and profession by building community with business professionals and providing opportunities for service, learning, and growth.",Service/Volunteer
Christian Students Association,The purpose of this club is to promote Christian fellowship and communication on campus.,Religious/Spiritual
Christians in Seattle,"Our organization welcomes all UW students who are interested in knowing God. Our unique focus is to bring UW students into a mature, full, and subjective knowledge of who God is.",Cultural/Identity
Circle K International at the University of Washington,"Internationally recognized student-led volunteer organization, sponsored by Kiwanis. We are a community-service organization at the University of Washington that specializes in volunteer work and community outreach in the Greater Seattle area.",Service/Volunteer
Civil Liberties Club,"Civil Liberties Club is a club dedicated to helping you know your rights. From your right to free speech to your right to vote - CLC hosts a variety of speakers, activities, and events to help you learn your legal rights.",Political/Activism
Clearvote,Clearvote is a student-driven non-profit providing an all-in-one service that enables users to stay up-to-date on off-cycle elections and understand more about who they are voting for,Service/Volunteer
Climate Action& Sustainability Team at University of Washington School of Dentistry,"Our mission is to integrate sustainability into the UW School of Dentistry and the dental profession and to foster a community that recognizes our role in combating climate change and values efforts towards a sustainable and equitable future,",Environmental/Sustainability
Climate Collaboratory at UW,A student organization focused on bringing together students from various disciplines to collectively engage with climate and environmental issues.,Environmental/Sustainability
Climbing Club at the University of Washington,"The Climbing Club is an organization focusing on rock and ice climbing, mountaineering, scrambling, hiking, snowshoeing, and any other mountain sport. Our focus is to get people outside through our events. If it's on a mountain, we probably do it!",Sports/Recreation
Climbing Team at the University of Washington,"The Climbing Team at UW is a community where student climbers of any level can connect, coordinate, and compete in the Northwest Collegiate Climbing Circuit and beyond.",Sports/Recreation
Clinical Informatics Interest Group,"The Clinical Informatics Interest Group aims to explore the intersection of healthcare, technology, and AI, providing medical students with opportunities to learn, collaborate, and engage with experts in clinical informatics.",Pre-Health/Medical
Club for Competitive Mathematics,"An RSO that aims to foster a learning environment, using competitive math to sharpen the problem-solving skills of UW students.",Academic
Club Golf Team at the University of Washington,The Club Golf Team at the University of Washington is a competitive group that competes in multiple tournaments. The team focuses on building community while allowing players of all skill levels to participate in regional and national competitions.,Sports/Recreation
Collective Youth Program UW Chapter,The Collective Youth Program is a community aiming to provide support and resources to BIPOC students pursuing the tech field. We are working towards the liberation of BIPOC youth through technology and mentorship.,Engineering/Tech
ColorStack at the University of Washington,"A supportive organization created to help Black, Latinx, and Native American students interested in tech complete their degrees and gain rewarding careers.",Engineering/Tech
Comedy Club UW,"Comedy Club is a welcoming, open environment intended to give individuals from all backgrounds and skill levels an opportunity to learn and practice the art of performing stand-up comedy.",Arts/Creative
Commerce Practice Club,"A student-led organization that offers hands-on business experience through real-world projects, recruitment, event planning, and finance. Bridging theory and practice for aspiring business leaders.",Business/Entrepreneurship
Common Ground Fellowship,"CG a Christian fellowship focused on God's truth, striving to provide students a community that encourages each other in our spiritual walks. CG is a college ministry of Evangelical Chinese Church. All are welcome! (1 Corinthians 9:22b-23 NLT)",Religious/Spiritual
Communists At University of Washington,"We, Communists at UW, are an organization of like-minded students who understand the need to fight to overthrow capitalism through a revolution.",General Interest
"Community for Neuroethics, Computation, and Technology",CoNECT is a graduate and undergraduate club supporting the neural engineering and computational neuroscience research community on campus at UW. It is the student arm of the Computational Neuroscience Center (CNC).,Engineering/Tech
Community Health Outreach,Community Health Outreach is a registered student organization that aims to inspire and connect pre-health students. We focus on providing and participating in volunteer opportunities that serve underrepresented populations both on and off the UW campus.,Service/Volunteer
Community Organizers of Genome Sciences (COGS),Community Organizers of Genome Sciences (COGS) is a group of genome scientists at the University of Washington working as an advocacy organization for women in our department and our field. We strive to ensure the Genome Sciences department,Arts/Creative
Compass and Chart Society,To unite its members socially and to foster an esprit de corps through participation in our training as future officers.,Engineering/Tech
Competitive Leatherball Cricket @ the University of Washington,CLC @ UW plays competitive cricket at both the local and intercollegiate level. We play international formats including T20 and ODI and focus on developing leatherball skills among new and experienced players.,Sports/Recreation
Competitive Programming at UW,We're a group of people passionate about competitive programming and problem solving. Our goal is to help improve one reach a competitive level and build a network of people with a common ground in competitive programming.,Engineering/Tech
Computing Community @ the University of Washington,"The purpose of COM² is to connect CSE students with peers, faculty, staff, and industry, and provide students with the resources and skills they need to succeed. COM² acts as a gateway for students to make a difference in the department.",Arts/Creative
Computing for Environmental and Social Advocacy,"Focused on harnessing computer science to solve societal problems, we are a multidisciplinary organization on a mission to use technology for the global good. Join us as we tackle social injustice, environmental pollution, unethical software, and more.",Engineering/Tech
Concrete Canoe,"The Concrete Canoe club is a group of aspiring engineers who work to design, construct, and race a canoe made out of concrete each year. Our goal is to promote engineering through hands-on experience and by demonstrating the extent of modern engineering",Engineering/Tech
Concussion Alliance - UW Chapter,"Hello! This organization is a chapter of the national 501(c)-3 non-proft organization, Concussion Alliance. We are a student-run organization that will serve as a beacon of knowledge and advocacy for concussion awareness on our campus and beyond!",Sports/Recreation
Conlang Club at UW,"We are a club dedicated to constructed languages (conlangs), such as Toki Pona, Esperanto, and Klingon. We create, discuss, and critique conlangs of all kinds. Linguistics experience, while helpful, is not required to join.",Hobbies/Interest
ConnexUS - The Volunteer Hub,We aim to help connect students with their community by making volunteering more accessible through offering info sessions and giving students a place to form volunteer communities.,Service/Volunteer
Consulting Association at UW,"We are the&nbsp;premier&nbsp;undergraduate consulting club at the University of Washington,&nbsp;providing students with every opportunity they need to break into the management consulting industry.",Business/Entrepreneurship
Corporate Banking Club at the University of Washington,The Corporate Banking Club at the University of Washington is an organization focused on building an environment for students interested in venturing into the world of corporate and commercial banking.,Hobbies/Interest
Corporate Law & Business Association,The Corporate Law & Business Association is a UW RSO aimed at educating undergraduates on the intersection of business and law. Empowering undergrad students to understand the legal aspects of the corporate world and develop well-rounded future leaders.,Engineering/Tech
Costume Club,"The Costume Club will practice creative and technical skills to design and construct costumes. We will promote student interest in creation of costumes including high fashion, theater, sewing, props, and cosplay, and share the skills and knowledge.",Arts/Creative
Counter-Strike at University of Washington,To represent Counter-Strike at the University of Washington against other collegiate and semi-professional teams across the nation.,Engineering/Tech
Creating a Company at UW,CAC is designed to introduce students to the basic steps required to start and actually run a business of their choosing.,Arts/Creative
Criminal Law Association,"The Criminal Law Association is dedicated to the principles of the criminal justice system. The club focuses on stimulating conversations about criminal prosecution and defense, while creating an environment for social and professional opportunities.",Political/Activism
Crohn's and Colitis Club at UW,"To provide a space for those who are affected by Inflammatory Bowel Disease to meet others, have fun in a non judgmental environment, and seek support and advice.",Environmental/Sustainability
Crowned Muse of WS at UW,"Rooted in the rich traditions of Historically Black Colleges and Universities. At the University of Washington, we strive for excellence in both artistic expression and academic achievement, using dance as a vehicle for empowerment, cultural pride.",Arts/Creative
Cru at UW,We are a Christian RSO that is passionate about connecting people to Jesus Christ. Cru is a place to get your questions answered or grow deeper in your relationship with God!,Cultural/Identity
cseed,"cseed is a tech entrepreneurship organization at UW, on a mission to build an entrepreneurially minded community and increase the number of engineering students who pursue tech entrepreneurship!",Engineering/Tech
CSF Club at UW Seattle,A group of CSF alumni who are currently connected with the CSF organization through a collegiate level program but have built their own community at UW Seattle to empower one another and aspire incoming generations.,Service/Volunteer
CTRL,Creative Control empowers students to apply creativity in marketing and advertising through hands-on experiences in real-world settings.,Business/Entrepreneurship
CTRL+G,A club for anyone who is interested in the role and impacts of technology on society.,Hobbies/Interest
Cube Club at University of Washington,"A club for Rubik's cube enthusiasts (solvers, modders, etc) to meet other cubers in the UW commuinty.",Hobbies/Interest
Cumbia Club,Cumbia Club at UW promotes community on campus by teaching cumbia dance and history.,Arts/Creative
"Currents: Exploring the Intersections of Water, People, and the Environment",The official student publication of the University of Washington School of Marine and Environmental Affairs (SMEA),Engineering/Tech
Dance Marathon at the University of Washington,Students spend a year learning invaluable leadership and life skills while raising funds and interacting with Seattle Children's patients and families.,Academic
Dance Student Association,The Dance Student Association (DSA) is an RSO with the mission to promote and facilitate community within the UW Department of Dance by creating opportunities for peer support and artistic development.,Arts/Creative
Data Science Society at UW,The Data Science Society at UW is a student-led organization dedicated to fostering a vibrant community of learners and practitioners in data science and machine learning.,Academic
DAWG Calisthenics,"DAWG Calisthenics strives to create a comfortable, judgement-free, and friendly community that enables and/or assists athletes of all backgrounds and skill levels to achieve their personal goals in relation to body weight fitness-whatever that may be!",Sports/Recreation
Dawg Pack,"Dawg Pack is the official student fan group for the Washington Huskies. We provide involvement opportunities through athletic events, student leadership and a home for UW campus community.",Sports/Recreation
Dawgs On Transit,"DOT takes fellow huskies to fun locations in the Seattle region on monthly excursions, through public transportation. DOT also discuss public transit current events. We also act as a space for students to recruit members for transit based initiatives.",Sports/Recreation
DawgTalks,"The purpose of Dawg Talks Club is to provide a platform for University of Washington students to share inspiring, thought-provoking, and idea-driven talks in a TED-style format. The club is dedicated to developing public speaking skills.",Sports/Recreation
Days for Girls @ University of Washington,"We work to increase access to menstrual care and education by developing global partnerships, cultivating Social Enterprises, mobilizing volunteers, and innovating sustainable solutions for menstruation.",Academic
Dead Elk Society,"The Dead Elk Society works to promote social interaction and networking between graduate students, faculty and staff in the School of Environmental and Forest Sciences.",Professional Development
Debate Society at the University of Washington,"UW's one and only competitive debate team, competing in IPDA, BP, and IE's locally and nationally",General Interest
DECA Chapter @ UW,"The DECA Chapter @ UW prepares students to become leaders and entrepreneurs in marketing, finance, hospitality, and management. We foster competence, innovation, integrity, and teamwork to support personal and professional growth.",Business/Entrepreneurship
Dedicated to Soiree Student Association,Our purpose is to hold indoor and outdoor events to celebrate holidays for all people who like getting together on special occasions.,General Interest
Delta Chi Fraternity at the University of Washington,"The members of the Delta Chi Fraternity believe that great advantages are derived through brotherhood; by promoting friendship, developing character, advancing justice, and assisting in education, we inspire our members daily to be men of action.",Greek Life
Delta Delta Delta,"The purpose of Delta Delta Delta shall be to establish a perpetual bond of friendship among its members, to develop a stronger and more womanly character, to broaden the moral and intellectual life, and to assist its members in every possible way.",Greek Life
Delta Delta Sigma Pre-Dental Society,The mission of Delta Delta Sigma is to introduce students to the dental profession and provide a helpful environment for success in their pre-dental academics.,Greek Life
"Delta Epsilon Mu, Inc. - Alpha Kappa Chapter","Our goal is to help pre-health students find their passion, connect with other students, access resources, and give back to the community. Dedication, Loyalty, Friendship, and Support are the principles of Delta Epsilon Mu.",Greek Life
Delta Gamma Sorority,"The objects of this Fraternity shall be to foster high ideals of friendship among women, to promote their educational and cultural interests, to create in them a true sense of social responsibility and to develop in them the best qualities of character.",Greek Life
"Delta Kappa Delta Sorority, Inc.","Delta Kappa Delta Sorority, Inc. is the first and only South Asian interest service sorority. Our pillars include sisterhood, education, culture, community service, and indomitable spirit.",Greek Life
Delta Kappa Epsilon,The Kappa Epsilon chapter of Delta Kappa Epsilon (DKE) started in 1910 as thirteenth fraternity at the University of Washington.,Greek Life
Delta Lambda Phi,"Delta Lambda Phi provides a welcoming alternative to Greek life on campus for Queer (LGBT2QIA+) students. Psi Chapter works to create a space for Queer people and allies to meet, form bonds, and become leaders while making change on campus and locally.",Greek Life
Delta Pi Zeta,"Delta Pi Zeta is an Asian interest (not Asian exclusive) fraternity that promotes leadership, community service, as well as providing a sense of brotherhood among their peers.",Greek Life
Delta Sigma Pi,"To foster the study of business in universities, encourage scholarship, social activity & the association of students for their advancement by research & practice, & to promote closer affiliation between the commercial world and students of commerce",Academic
Delta Tau Delta,"We focus on building lifetime friendships, and positively impacting the community. We achieve this by providing resources for personal and academic success, as well as hosting and attending social and philanthropic events.",Greek Life
Delta Upsilon,"Delta Upsilon, or DU, is a non-secret, non-hazing men's fraternity founded at Williams College in 1834. Delta Upsilon's mission is ""building better men,"" and was founded on the principles of friendship, character, culture, and justice.",Greek Life
Delta Zeta Sorority,"Our organization's purpose is to unite women in the bonds of sincere and lasting friendship, support the pursuit of knowledge, promote the moral and social culture of its members, and develop plans for guidance and unity in action.",Greek Life
Dental Class of 2025 @ UW,"To advocate and interact with members of the community in the context of oral health issues, inequity, inequality, and concerns. And to promote class involvement with the highest degree of professionalism within the UW School of Dentistry & C/O of 2025.",Pre-Health/Medical
Dental Class of 2026 @ UW,The Dental Class of 2026@UW has the purpose of educating and interacting with the community through the lense of oral health issues. We want to work also with other classes at UWSOD and faculty in the most professional manner to create the best outcomes.,Pre-Health/Medical
Dental Class of 2027 @UW,"This organization’s purpose to inform, advocate and interact with members of the community in the context of oral health issues, inequity, inequality, and concerns. We seek to promote UWSOD class involvement and the highest degree of professionalism.",Pre-Health/Medical
Dental Class of 2028 at UW,This organization represents members of the Dental Class of 2028 at the University of Washington.,Pre-Health/Medical
Dental Class of 2029 at UW,"Official RSO of the UW School of Dentistry, Class of 2029.",Pre-Health/Medical
Dental Pediatric Interest Group at University of Washington,The purpose of the organization is to initiate and promote a holistic understanding and appreciation of dentistry and oral health of children and adolescents among dental students at the University of Washington School of Dentistry.,Pre-Health/Medical
Dental Practice Ownership Association,"Leading by Dr. John Yae, our organization focus on training 4th-year dental students' clinical and management skills in dental office ownership.",Pre-Health/Medical
Dental School Student Council,To represent the voice of the dental student body and act to mediate between administration/faculty and students.,Pre-Health/Medical
Department of Environmental and Occupational Health Sciences Student Advisory Committee,"SAC represents the graduate students of the University of Washington’s Department of Environmental and Occupational Health Sciences (DEOHS) in matters pertaining to student concerns, student life, Departmental policy development, and special events.",Pre-Health/Medical
Dermatology Interest Group,A virtual student organization that builds community and supports student learning and mentorship in dermatology.,Academic
Desi Dhamaka,"The Desi Dhamaka Student Organization at the University of Washington, Seattle, is a student-run Registered Student Organization (RSO) at the UW. The Desi Dhamaka RSO is responsible for putting on the annual Desi Dhamaka cultural event.",Cultural/Identity
Design for America - University of Washington Chapter,"The mission of Design for America - University of Washington is to create positive change in the local community, with a focus on hands-on projects that allow members to practice design and solve real world problems.",Arts/Creative
"Design, Build, Fly at the University of Washington","To design, construct, and fly a remote controlled aircraft at an annual AIAA competition and educate our members to be better engineers",Engineering/Tech
Developpe Dance Club,"The Developpe Dance Club gathers those who love ballet and contemporary dance. We welcome dancers at all levels to join us, have classes, and attend events. We hope to build a welcoming community for ballet and contemporary dancers at UW.",Arts/Creative
Diagnostic and Interventional Radiology Interest Group,"DIRIG at UW School of Medicine offers students early exposure to diagnostic imaging and interventional procedures through workshops, mentorship, and networking, fostering collaboration and highlighting radiology’s evolving role in patient care.",Pre-Health/Medical
Disc Golf Club at The University of Washington,"To promote the sport of Disc Golf among the UW community, and to connect with other students interested in Disc Golf.",Sports/Recreation
Diversity in Business,The Foster Diversity in Business club (DiBs) is a space to embrace the range and depth of individuals in the Foster MBA program. We host events and workshops to celebrate traditional and non-traditional diversity identifiers.,Business/Entrepreneurship
Doctor For A Day,The aim is to inspire and encourage middle and high school students of color to consider medicine and other health professions as viable career opportunities. This occurs through themed based events that offer hands-on activities.,Pre-Health/Medical
Doctor of Physical Therapy Student Association,DPTSA serves to promote and conduct extracurricular and educational activities for students enrolled in the UW Doctor of Physical Therapy Program.,Academic
Doctoral Student Association in the Information School,To support the welfare for doctoral students in the iSchool.,General Interest
Doctors for America at University of Washington,"Doctors for America at UW mobilizes healthcare professionals in-training to be leaders in putting patients over politics in the pressing of the day to improve the health of our patients, communities, and nation.",Pre-Health/Medical
Dream Volunteers UW Chapter,"We aim to empower students to become changemakers through local service, fundraising, and engagement with the Dream Volunteers organization.",Service/Volunteer
Dub Club Baseball,A competitive baseball team that competes in the D1 National Club Baseball Association.,Hobbies/Interest
Dub DJ Club,"Dub DJ Club (DDJ) is UW's student-run DJ club. We bring together DJs, producers, musicians, and curious learners to grow the creative scene at UW and foster peer-to-peer connections through music. All skill levels are welcome. Come spin with us!",Arts/Creative
Dub's Art Club,Dub's Art Club is a registered student organization at the University of Washington Seattle for artists and art enthusiasts to share and create art together!,Hobbies/Interest
DubHacks,"The purpose of this organization to bring individuals together to connect, empower, and create using various technologies.",Engineering/Tech
Dubshot Photography Club,"Calling all aspiring and passionate photographers! Dubshot is your one-stop-shop for learning, creating, and experimenting with photography throughout Seattle and on-campus.",Academic
DubsTech,"DubsTech is the largest tech community at UW. We aim to help students grow their tech skills by organizing a variety of open-to-all workshops, competitions, talks, and more. Irrespective of your major, background, or skill level, everyone is welcome!",Engineering/Tech
DyVest Investment Club,"Based in Seattle, we are a student-run organization at the UW that help students learn about finance and investment. Ultimately, we want to build a community where students can chat about finance and investment, meet new friends, and grow professionally.",Business/Entrepreneurship
E-Truck,Our goal is to convert a class 7 diesel truck into a battery-powered electric truck.,General Interest
Early Entrance Drama Society,EDS provides performance opportunities for Early Entrance and UW Academy students and entertains the Robinson Center community and beyond.,Engineering/Tech
Earthquake Engineering Research Institute at UW,"The purpose of EERI UW is to prepare future leaders in earthquake engineering, science, and policy through interdisciplinary dialogue, professional engagement, and public outreach.",Academic
East African Student Association at UW,The purpose of the East African Student Association at the University of Washington is to create a safe space to discuss various East African experiences and points relating to communities and countries within the East African boundaries.,Cultural/Identity
Eat Together,"Eat Together is on a mission to improve the student bonding experience at UW via food. We have built a mobile app that allows students to meet other students via year-round food meetups on campus, and we aim to organize meetups of our own as well!",Engineering/Tech
Eco-Build at the University of Washington,"We are a multicultural and multi-departmental competition club, focusing on building science developments! We focus on researching and applying sustainability techniques in design projects regarding architecture, engineering, urban design and more!",Engineering/Tech
Economics Club at Uw,"The Economics Club aims to enhance members' understanding of economic principles, foster professional development, and facilitate networking opportunities. It aims to organizes events, discussions, and research activities promoting educational enrichment",Professional Development
Electronic Music Producers at UW,"We aspire to bring together a diverse group of music producers of all backgrounds and skill levels. Meetings include collaboration, challenges, guest speakers, seminars, and more! Join our Discord to be a part of our community: https://discord.gg/gDwzvgm",Arts/Creative
Elohim Club,"Elohim promotes academic study of the Bible by examining the intersection between Bible prophecies, human history, and scientific discovery, by investigating the reasons for observing God's commandments, and by exploring religious reformation in this age",Academic
EMER Hiphop,"We offer a stage for UW students who interested in Hiphop and Asian raps. We mainly provides the tutoring for writing raps, singing raps and the meeting for sharing and communicating raps.",Academic
Emergency Medical Services at the University of Washington,"Our primary goal is community outreach for UW students who are EMTs or planning to be EMTs. We will provide CPR/AED, First Aid and Naloxone training and host community social events. We will also help guide students through the EMT certification process.",Service/Volunteer
Emergency Medicine Interest Group,"EMIG is a student-run organization within UWSOM whose goals are to introduce students to emergency medicine and to stimulate interest in this exciting field. In general, the club's activities consist of organizing skill",Sports/Recreation
End Overdose,"End Overdose is a non-profit based out of Los Angeles, California. Our goal is to end overdose-related deaths through harm reduction training and the distribution of resources such as Narcan and Fentanyl testing strips.",Engineering/Tech
ENGAGE! Civics and Democracy Advocates,"Non-partisan advocates for more informed and politically engaged citizens. We are dedicated to electoral reform, improving voter turnouts, and empowering US citizens to govern themselves.",Arts/Creative
Engineering Horizons Club At UW,The Engineering Horizons Club at UW offers hands-on opportunities and experiences to help you discover the engineering field you are most interested in.,Hobbies/Interest
Engineering in Photographer's Approach,"We are both photographers and engineers. We focus on applying engineering technologies to the real world, incorporating them into imaging and observational innovations.",Engineering/Tech
Engineers In Action University of Washington Chapter,EIA is a nonprofit organization that works to design and build suspended footbridges to connect isolated communities to essential resources in collaboration with community members and professional partners.,Arts/Creative
Engineers of Art,"We are a club that strive to bridge the worlds of engineering and the different branches of art, inspiring creativity and innovation at their intersections through workshops, projects, and other events that elevate art through technology.",Engineering/Tech
Engineers Without Borders - University of Washington Student Chapter,"EWB-UWS supports community-driven development programs worldwide by collaborating with local partners to design and implement sustainable engineering projects, while creating transformative experiences and responsible leaders",Engineering/Tech
Entertainment Law Association,Law Students who love entertainment and are interested in growing their understanding of the field and the industry. The goal is to be social and to grow our networks in the field.,Engineering/Tech
Entrepreneurship Club at the University of Washington,The Entrepreneurship Club at the University of Washington is the premier undergraduate organization dedicated to empowering students with the skills and knowledge essential for business development and personal growth.,Business/Entrepreneurship
Environmental Law Society,"The Environmental Law Society (“ELS”) is an intersectional environmental advocacy organization committed to providing a forum for members of the University of Washington School of Law to engage with local, national, and global environmental issues.",Political/Activism
Environmental Policy Student Association,"Join us for weekly meetings to engage with peers, professors, and professionals on a range of environmental policy and activism topics! We aim to center intersectionality, climate justice, & environmental justice at the heart of environmental policy.",Political/Activism
Enzyme,"Enzyme is an academic and literary journal that catalyzes discussions in disparities in health, providing students with a platform to voice their narratives and convey vital medical information.",Pre-Health/Medical
ESS GeoClub at UW,"Our goal is to encourage personal, academic, and professional interest in geology and all related disciplines by helping students make connections and find opportunities outside the classroom.",Hobbies/Interest
Eta Mu Beta Flag Football Club,This organization is for members of the husky marching band to be able to exist as a group entity which will be utilized to reserve campus facilities and spaces for practicing and playing flag football.,Greek Life
ETCH (Education Transforming Community Health),"Through community partnerships, we will create health education curriculum that bridges evidence-based practice and the voices of the many homeless communities in Seattle.",Academic
Ethiopian Orthodox Tewahedo Church (EOTC) Mahibere Kidusan Campus Ministry at the University of Washington,"The Ethiopian Orthodox Tewahido Church (EOTC) Mahibere Kidusan Campus Ministry at UW is dedicated to spreading the teachings of Jesus Christ, fostering faith, and promoting spiritual and professional growth among students.",Religious/Spiritual
Ethnomusicology Society at UW,"The ESUW aims to promote the interdisciplinary necessity of ethnomusicology programs, to allow all UW students easy access to explore non-eurocentric music, and to encourage community building for Ethnomusicology major students.",Engineering/Tech
Evans Student Organization,"ESO is a group of elected Evans student leaders to serve as the liaison between Evans students' and faculty/administration. We represent and address the needs of our students, support student programming, and strengthen our Evans community.",Engineering/Tech
